user_id,timestamp,song,artist,session_id,duration
977,2024-10-18 07:14:00,Back in Black,Nirvana,1612,5.0
255,2024-01-26 08:19:00,Billie Jean,Nirvana,6257,5.32
28,2025-01-04 18:44:00,With or Without You,AC/DC,9669,9.8
956,2025-07-04 23:17:00,Smells Like Teen Spirit,Michael Jackson,8446,7.56
961,2025-07-31 10:07:00,With or Without You,The Beatles,6806,9.24
190,2025-03-09 16:56:00,Hey Jude,Eagles,5124,6.41
844,2024-04-13 02:27:00,Stairway to Heaven,AC/DC,6058,3.14
602,2024-04-15 07:10:00,Bohemian Rhapsody,Madonna,5969,9.63
139,2025-07-21 15:33:00,Like a Prayer,Pink Floyd,7113,6.19
113,2024-04-30 14:31:00,Back in Black,U2,5391,5.06
155,2025-10-16 14:25:00,Billie Jean,Michael Jackson,8696,5.34
320,2024-03-15 20:40:00,Comfortably Numb,Michael Jackson,7536,8.58
329,2025-12-31 10:21:00,Hotel California,Eagles,1058,8.68
374,2025-06-01 21:35:00,Bohemian Rhapsody,AC/DC,9199,9.27
280,2025-01-25 02:22:00,Billie Jean,The Beatles,5123,2.57
710,2025-06-26 08:44:00,Hey Jude,Led Zeppelin,7221,4.02
347,2025-07-25 08:12:00,Like a Prayer,U2,2891,9.61
921,2024-03-20 05:55:00,Stairway to Heaven,Queen,6559,7.88
295,2025-06-19 23:30:00,Back in Black,Queen,3245,4.95
686,2025-05-17 14:23:00,Smells Like Teen Spirit,Pink Floyd,5862,3.36
432,2025-04-05 10:17:00,Smells Like Teen Spirit,The Beatles,3422,9.21
543,2025-12-25 01:51:00,Smells Like Teen Spirit,The Beatles,2514,3.24
459,2025-09-01 14:01:00,Back in Black,Led Zeppelin,4664,8.94
723,2025-08-06 08:41:00,Hey Jude,AC/DC,6463,3.57
494,2024-07-31 16:39:00,Smells Like Teen Spirit,Madonna,8162,9.64
600,2025-06-23 07:28:00,Back in Black,Madonna,6437,5.54
998,2025-03-03 15:39:00,Like a Prayer,The Beatles,5138,8.12
594,2025-05-26 12:16:00,Billie Jean,Led Zeppelin,3187,3.75
780,2024-04-15 13:43:00,Smells Like Teen Spirit,Led Zeppelin,4524,9.61
221,2024-11-17 20:55:00,Comfortably Numb,Pink Floyd,4801,7.35
109,2024-07-26 20:26:00,Billie Jean,Madonna,3103,8.85
249,2024-10-07 15:30:00,Stairway to Heaven,AC/DC,3268,4.12
162,2025-09-09 13:49:00,Smells Like Teen Spirit,Michael Jackson,1508,5.15
277,2024-05-03 18:05:00,Bohemian Rhapsody,U2,7529,9.74
71,2025-10-08 10:14:00,Stairway to Heaven,Queen,6487,9.03
110,2025-12-14 04:40:00,With or Without You,Michael Jackson,4341,5.59
15,2024-01-29 17:40:00,Stairway to Heaven,Led Zeppelin,2476,4.75
686,2025-07-14 21:41:00,Bohemian Rhapsody,The Beatles,2599,6.6
237,2024-06-24 22:06:00,Smells Like Teen Spirit,Queen,6553,6.38
516,2024-11-26 20:06:00,Smells Like Teen Spirit,Eagles,6136,4.44
358,2025-05-31 09:42:00,Comfortably Numb,Queen,4760,4.98
329,2024-05-02 16:02:00,Comfortably Numb,Michael Jackson,4634,5.32
446,2024-06-20 17:45:00,Comfortably Numb,The Beatles,1957,7.39
531,2025-03-18 05:24:00,Like a Prayer,Queen,7576,4.58
941,2025-03-02 01:13:00,With or Without You,Led Zeppelin,9654,6.51
936,2025-07-04 08:39:00,Stairway to Heaven,Queen,4931,4.9
698,2024-01-17 06:10:00,With or Without You,The Beatles,8557,9.81
